tmdb_id,tagline,overview,spoken_languages,full_cast
471762,,"A lumberjack, Doru, whose wife dies leaving the child she was looking after, Meda, at risk of being sent to an orphanage, decides to fight for adoption, against the odds.",['ro'],"[{'id': 592227, 'name': 'Șerban Pavlu', 'character': 'Doru', 'popularity': 0.3292, 'order': 0}, {'id': 1113157, 'name': 'Adrian Titieni', 'character': 'Descalul', 'popularity': 0.169, 'order': 1}, {'id': 85229, 'name': 'Florin Zamfirescu', 'character': 'Pandele', 'popularity': 0.1978, 'order': 2}, {'id': 1078750, 'name': 'Costel Cașcaval', 'character': 'Petrica', 'popularity': 0.2989, 'order': 3}, {'id': 1371762, 'name': 'Vlad Corbeanu', 'character': 'Mocanu', 'popularity': 0.0143, 'order': 4}, {'id': 587475, 'name': 'Lucian Ifrim', 'character': 'Ecologistul', 'popularity': 0.184, 'order': 5}, {'id': 111910, 'name': 'Mihai Dinvale', 'character': 'Socrul', 'popularity': 0.1544, 'order': 6}, {'id': 1966149, 'name': 'Rodica Negrea', 'character': 'Soacra', 'popularity': 0.0915, 'order': 7}, {'id': 85227, 'name': 'Ion Sapdaru', 'character': 'Directorul de orfelinat', 'popularity': 0.2308, 'order': 8}, {'id': 555538, 'name': 'Ioana Abur', 'character': 'Doctorita', 'popularity': 0.3245, 'order': 9}, {'id': 1480637, 'name': 'Codin Maticiuc', 'character': 'Scurtu Mihail', 'popularity': 0.2058, 'order': 10}, {'id': 2279529, 'name': 'Vlad Jipa', 'character': 'Primarul', 'popularity': 0.0387, 'order': 11}, {'id': 587479, 'name': 'Gabriel Radu', 'character': 'Delegat 1', 'popularity': 0.1369, 'order': 12}, {'id': 1904359, 'name': 'Constantin Dogioiu', 'character': 'Mitrofan', 'popularity': 0.1021, 'order': 13}, {'id': 2179506, 'name': 'Laur Dragan', 'character': 'Jandarm', 'popularity': 0.0963, 'order': 14}]"
617259,,"There is a legend, common amoung fisherman, that to have a woman on a boat is bad luck. Fergus, a young eel fisherman, is about to find out why.",[],[]
708449,,"Navigating through Vietnam online gay dating scene, ""Search"" documents the filmmaker's attempt to understand his place among the community.",[],[]
491298,,"Mathias is transgender. Although he is more than sure about his decision to live as a man, he still has to find his way in his new identity and especially in his new job. And also his relationship with his girlfriend seems to have changed due to the transition.",['de'],"[{'id': 1936637, 'name': 'Gregor Kohlhofer', 'character': '', 'popularity': 0.05, 'order': 0}, {'id': 1936638, 'name': 'Magdalena Wabitsch', 'character': '', 'popularity': 0.0535, 'order': 1}, {'id': 1936639, 'name': 'Ahmet Simsek', 'character': '', 'popularity': 0.0143, 'order': 2}, {'id': 1936640, 'name': 'Brigitta Kanyaro', 'character': '', 'popularity': 0.0661, 'order': 3}, {'id': 1818018, 'name': 'Michael Edlinger', 'character': '', 'popularity': 0.2129, 'order': 4}, {'id': 1914770, 'name': 'Barbara Gassner', 'character': '', 'popularity': 0.042, 'order': 5}]"
444610,,"Gabrielle is writing an illustrated guide book on sex called 'How To Do It.' At a book signing she meets Saul, an established male writer who is straight. She both loves and hates his work which has seeped into her secular Jewish life from childhood. The more Gabrielle tells him about her book the more he wants to know about her life; the relationship with her younger girlfriend Olivia and her determination to ""stop using my penis in sex"". As her book takes form, is Saul jealous or desirous? Their friendship is tested as is Gabrielle's relationship with Olivia. The film muses on how we write, how we draw. And the nature of ""story"" and what it makes us do.",['en'],"[{'id': 78018, 'name': 'Allan Corduner', 'character': 'Saul', 'popularity': 1.3197, 'order': 0}, {'id': 1768455, 'name': 'Joni Kamen', 'character': 'Fiona', 'popularity': 0.171, 'order': 1}, {'id': 1334003, 'name': 'Lisa Gornick', 'character': 'Gabrielle', 'popularity': 0.1074, 'order': 2}, {'id': 1509472, 'name': 'Ruth Lass', 'character': 'Jessica', 'popularity': 0.0725, 'order': 3}, {'id': 2113080, 'name': 'Anna Koval', 'character': 'Olivia', 'popularity': 0.2988, 'order': 4}]"
517275,,The desire to start a family against all odds puts one couple to the test as they face international scrutiny for their unconventional circumstances. This film shows the challenges they face being trans activists in the public eye while also becoming new parents.,[],[]
542916,,"‘William McKeown: Idir Neamh agus Talamh’ is a meditation on the work of Irish artist William McKeown (1962-2011),  who developed a body of work that has had a radical and fundamental effect on our understanding of the age-old relationship of art to nature, steering our attention not to the distant sky but to the air around us, to the openness of nature, the feeling of our emergence into light and our proximity to the infinite.",['ga'],[]
449087,,"In 'Sunday Morning Coming Down', two twin brothers head to the seaside town of Hastings where one of them has arranged to meet a man. Set in 1994, it is a story of brotherly love, which addresses homosexual exploration and the nature of fetish in a pre-online world.",['en'],"[{'id': 5936621, 'name': 'David Shields', 'character': 'Max', 'popularity': 0.0071, 'order': 0}, {'id': 3154799, 'name': 'Henry Faber', 'character': 'Jordan', 'popularity': 0.0493, 'order': 1}, {'id': 5936676, 'name': 'Sophia Flohr', 'character': 'Rosie', 'popularity': 0.0, 'order': 2}]"
447706,,"After his mother’s funeral in rural Ireland, Fergus is taken to a techno rave by the sea outside Dublin with Mick, Alan and Conal. Based on a short story by Colm Tóibín (Brooklyn).",[],"[{'id': 1779358, 'name': 'Faolan Barry', 'character': 'Young Fergus', 'popularity': 0.0819, 'order': 0}, {'id': 1779359, 'name': 'James Browne', 'character': 'Alan', 'popularity': 0.0168, 'order': 1}, {'id': 1656687, 'name': 'Shane Casey', 'character': 'Man', 'popularity': 0.3813, 'order': 2}, {'id': 1779361, 'name': 'Shane Lennon', 'character': 'Mick', 'popularity': 0.0696, 'order': 3}, {'id': 1779362, 'name': 'Michael-David McKernan', 'character': 'Fergus', 'popularity': 0.1925, 'order': 4}]"
572965,,"Time can dilute sexual desire, but will it arouse the emotions between them?","['zh', 'en']","[{'id': 5262556, 'name': 'Jun-Cheng Qiu', 'character': 'Yu Xiang', 'popularity': 0.0143, 'order': 0}]"
