film_slug,film_id,title,genre_1,genre_2,genre_3,genre_4,genre_5
hustle-2022,,Hustle,Comedy,Drama,,,
fire-island-2022,,Fire Island,Romance,Comedy,,,
close-2022,,Close,Drama,,,,
elvis-2022,,Elvis,Music,History,Drama,,
decision-to-leave,,Decision to Leave,Mystery,Thriller,Romance,,
jurassic-world-dominion,,Jurassic World Dominion,Thriller,Science Fiction,Adventure,,
crimes-of-the-future-2022,,Crimes of the Future,Horror,Thriller,Science Fiction,,
sick-of-myself,,Sick of Myself,Comedy,Horror,,,
holy-spider,,Holy Spider,Crime,Drama,Thriller,,
aftersun,,Aftersun,Drama,,,,
triangle-of-sadness,,Triangle of Sadness,Drama,Comedy,,,
enys-men,,Enys Men,Drama,Horror,,,
the-stranger-2022,,The Stranger,Thriller,Drama,Crime,,
chip-n-dale-rescue-rangers,,Chip 'n Dale: Rescue Rangers,Mystery,Animation,Comedy,Adventure,Family
men-2022,,Men,Fantasy,Horror,Thriller,,
jackass-45,,Jackass 4.5,Action,Comedy,Documentary,,
eo,,EO,Adventure,Drama,,,
senior-year-2022,,Senior Year,Comedy,,,,
top-gun-maverick,,Top Gun: Maverick,Action,Drama,,,
doctor-strange-in-the-multiverse-of-madness,,Doctor Strange in the Multiverse of Madness,Fantasy,Action,Adventure,,
doctor-who-legend-of-the-sea-devils,,Doctor Who: Legend of the Sea Devils,Drama,Science Fiction,Adventure,,
sonic-the-hedgehog-2,,Sonic the Hedgehog 2,Adventure,Family,Comedy,Action,
gateways-grind,,Gateways Grind,Documentary,,,,
rrr,,RRR,Adventure,Action,Drama,,
morbius,,Morbius,Science Fiction,Action,Fantasy,,
deep-water-2022,,Deep Water,Drama,Mystery,Thriller,,
bodies-bodies-bodies,,Bodies Bodies Bodies,Comedy,Mystery,Horror,Thriller,
x-2022,,X,Horror,Thriller,,,
the-unbearable-weight-of-massive-talent,,The Unbearable Weight of Massive Talent,Crime,Action,Comedy,,
everything-everywhere-all-at-once,,Everything Everywhere All at Once,Science Fiction,Adventure,Comedy,Action,
windfall,,Windfall,Crime,Drama,Thriller,,
the-adam-project,,The Adam Project,Comedy,Adventure,Science Fiction,,
turning-red,,Turning Red,Family,Fantasy,Animation,Comedy,
texas-chainsaw-massacre,,Texas Chainsaw Massacre,Drama,Crime,Horror,,
tall-girl-2,,Tall Girl 2,Comedy,Romance,Drama,,
death-on-the-nile-2022,,Death on the Nile,Crime,Thriller,Mystery,,
the-tinder-swindler,,The Tinder Swindler,Crime,Documentary,,,
marry-me-2022,,Marry Me,Comedy,Romance,Music,,
jackass-forever,,Jackass Forever,Action,Documentary,Comedy,,
emily-the-criminal,,Emily the Criminal,Thriller,Crime,Drama,,
am-i-ok,,Am I OK?,Romance,Comedy,Drama,,
cha-cha-real-smooth,,Cha Cha Real Smooth,Romance,Drama,Comedy,,
alice-2022,,Alice,Thriller,Drama,,,
sharp-stick,,Sharp Stick,Drama,Romance,Comedy,,
living-2022,,Living,Drama,,,,
fire-of-love-2022,,Fire of Love,Documentary,,,,
fresh-2022,,Fresh,Horror,Thriller,,,
the-princess-2022,,The Princess,Documentary,History,,,
scream-2022,,Scream,Mystery,Horror,,,
death-to-2021,,Death to 2021,Comedy,,,,
the-matrix-resurrections,,The Matrix Resurrections,Adventure,Science Fiction,Action,,
spider-man-no-way-home,,Spider-Man: No Way Home,Adventure,Action,Science Fiction,,
dont-look-up-2021,,Don't Look Up,Drama,Science Fiction,Comedy,,
nightmare-alley-2021,,Nightmare Alley,Drama,Crime,Thriller,,
west-side-story-2021,,West Side Story,Romance,Crime,Drama,,
licorice-pizza,,Licorice Pizza,Drama,Romance,Comedy,,
tick-tick-boom-2021,,"tick, tick... BOOM!",Drama,Music,,,
house-of-gucci,,House of Gucci,Drama,Crime,History,,
millie-lies-low,,Millie Lies Low,Comedy,Drama,,,
love-hard,,Love Hard,Comedy,Romance,,,
eternals,,Eternals,Action,Science Fiction,Adventure,,
encanto,,Encanto,Comedy,Family,Fantasy,Animation,
the-harder-they-fall-2021,,The Harder They Fall,Western,,,,
diana-the-musical,,Diana: The Musical,Drama,History,Romance,,
no-time-to-die-2021,,No Time to Die,Action,Adventure,Thriller,,
the-black-phone,,The Black Phone,Thriller,Horror,,,
the-tragedy-of-macbeth,,The Tragedy of Macbeth,Drama,,,,
venom-let-there-be-carnage,,Venom: Let There Be Carnage,Science Fiction,Action,Adventure,,
the-humans,,The Humans,Drama,,,,
the-last-duel-2021,,The Last Duel,Thriller,History,Drama,Action,
the-guilty-2021,,The Guilty,Drama,Thriller,,,
halloween-kills,,Halloween Kills,Horror,Thriller,,,
official-competition,,Official Competition,Drama,Comedy,,,
