username,movie_title,film_slug,film_id,rating,genre_1,genre_2,genre_3,genre_4,genre_5
jay,The Boy and the Heron,the-boy-and-the-heron,,3.5,Animation,Fantasy,Drama,,
jay,Oppenheimer,oppenheimer-2023,,4.5,Drama,History,,,
jay,Barbie,barbie,,3.5,Comedy,Fantasy,Adventure,,
jay,Insidious: The Red Door,insidious-the-red-door,,2.5,Horror,Thriller,,,
jay,Paradise,paradise-2023-1,,2.5,Science Fiction,Thriller,,,
jay,Mission: Impossible – Dead Reckoning,mission-impossible-dead-reckoning,,3.5,Action,Thriller,Adventure,,
jay,Black Mirror: Demon 79,black-mirror-demon-79,,3.5,TV Movie,Science Fiction,Horror,Thriller,
jay,Black Mirror: Mazey Day,black-mirror-mazey-day,,1.5,Thriller,Science Fiction,Horror,TV Movie,
jay,Black Mirror: Beyond the Sea,black-mirror-beyond-the-sea,,3.0,Horror,Science Fiction,Thriller,TV Movie,
jay,Black Mirror: Loch Henry,black-mirror-loch-henry,,3.0,TV Movie,Science Fiction,Thriller,Mystery,
jay,Black Mirror: Joan Is Awful,black-mirror-joan-is-awful,,2.0,TV Movie,Drama,Thriller,Science Fiction,
jay,They Cloned Tyrone,they-cloned-tyrone,,3.5,Comedy,Science Fiction,Mystery,,
jay,The Flash,the-flash,,1.5,Adventure,Action,Science Fiction,,
jay,Meg 2: The Trench,meg-2-the-trench,,1.0,Action,Horror,Science Fiction,,
jay,Spider-Man: Across the Spider-Verse,spider-man-across-the-spider-verse,,3.0,Animation,Science Fiction,Adventure,Action,
jay,La Chimera,la-chimera,,4.0,Drama,Comedy,Fantasy,,
jay,Perfect Days,perfect-days-2023,,4.0,Drama,,,,
jay,In Our Day,in-our-day,,3.0,Drama,,,,
jay,Cobweb,cobweb-2023-1,,3.5,Drama,Comedy,,,
jay,The Taste of Things,the-taste-of-things,,4.5,Romance,Drama,,,
jay,Asteroid City,asteroid-city,,3.5,Drama,Comedy,,,
jay,Kidnapped,kidnapped-2023,,2.5,History,Drama,,,
jay,Kubi,kubi,,3.0,Action,Drama,Thriller,History,Comedy
jay,Fallen Leaves,fallen-leaves-2023,,4.0,Romance,Drama,Comedy,,
jay,The Boogeyman,the-boogeyman,,2.5,Horror,,,,
jay,Club Zero,club-zero,,2.0,Comedy,Drama,Thriller,,
jay,Anatomy of a Fall,anatomy-of-a-fall,,4.0,Crime,Thriller,Mystery,,
jay,Killers of the Flower Moon,killers-of-the-flower-moon,,4.0,Crime,History,Drama,,
jay,May December,may-december,,4.0,Drama,,,,
jay,The Zone of Interest,the-zone-of-interest,,4.0,War,Drama,History,,
jay,How to Have Sex,how-to-have-sex,,4.0,Drama,,,,
jay,The New Boy,the-new-boy,,3.0,Drama,,,,
jay,Monster,monster-2023,,4.0,Thriller,Mystery,Drama,,
jay,Strange Way of Life,strange-way-of-life,,2.5,Western,Romance,Drama,,
jay,Blood & Gold,blood-gold,,2.5,Drama,Action,War,,
jay,Beau Is Afraid,beau-is-afraid,,3.5,Comedy,Fantasy,Adventure,,
jay,The Super Mario Bros. Movie,the-super-mario-bros-movie,,3.0,Adventure,Animation,Comedy,Family,Fantasy
jay,Clock,clock-2023,,2.5,Thriller,Horror,,,
jay,Murder Mystery 2,murder-mystery-2,,1.5,Mystery,Comedy,Crime,,
jay,Air,air-2023,,3.5,Drama,History,,,
jay,Evil Dead Rise,evil-dead-rise,,3.5,Horror,Thriller,,,
jay,Bottoms,bottoms,,3.0,Comedy,,,,
jay,Dungeons & Dragons: Honor Among Thieves,dungeons-dragons-honor-among-thieves,,3.0,Fantasy,Adventure,Comedy,,
jay,John Wick: Chapter 4,john-wick-chapter-4,,4.0,Crime,Action,Thriller,,
jay,Scream VI,scream-vi,,3.5,Crime,Thriller,Horror,,
jay,Luther: The Fallen Sun,luther-the-fallen-sun,,2.5,Crime,Thriller,Mystery,,
jay,Cocaine Bear,cocaine-bear,,1.5,Crime,Comedy,Thriller,,
jay,"Orlando, My Political Biography",orlando-my-political-biography,,3.0,Documentary,,,,
jay,Reality,reality-2023,,3.5,Drama,Thriller,,,
jay,BlackBerry,blackberry-2023,,4.0,Drama,History,Comedy,,
jay,Ant-Man and the Wasp: Quantumania,ant-man-and-the-wasp-quantumania,,1.5,Adventure,Science Fiction,Action,,
jay,Knock at the Cabin,knock-at-the-cabin,,2.5,Mystery,Horror,Thriller,,
jay,Passages,passages-2023,,3.5,Drama,Romance,,,
jay,Rye Lane,rye-lane,,3.5,Comedy,Romance,,,
jay,Scrapper,scrapper-2023,,4.0,Comedy,Drama,,,
jay,Past Lives,past-lives,,4.0,Drama,Romance,,,
jay,Theater Camp,theater-camp-2023,,3.0,Comedy,,,,
jay,Polite Society,polite-society,,2.5,Action,Comedy,Drama,,
jay,M3GAN,m3gan,,2.5,Science Fiction,Horror,,,
jay,Avatar: The Way of Water,avatar-the-way-of-water,,4.0,Science Fiction,Action,Adventure,,
jay,Your Christmas or Mine?,your-christmas-or-mine,,2.5,Romance,Comedy,,,
jay,Troll,troll-2022,,2.0,Action,Fantasy,Adventure,,
jay,Puss in Boots: The Last Wish,puss-in-boots-the-last-wish,,4.0,Animation,Family,Fantasy,Comedy,Adventure
