activity_name,category,location_area
Salus Spa In Legaspi,Massage spa,"G/F, Cristina Condominium, corner V.A. Rufino St, Legazpi Village, Makati City, Metro Manila, Philippines"
Sunrise Wellness Spa Makati Branch,Massage spa,"4118 Kalayaan Ave, Makati City, Metro Manila, Philippines"
Thai Boran Makati MNL,Massage spa,"Makati Ave, Bel-Air, Makati City, 1224 Metro Manila, Philippines"
Nuat Thai Makati,Massage spa,"705 bldg regray, J. P. Rizal St, Valenzuela, Makati City, Philippines"
Asian Massage Pasay,Massage spa,"Melbourne Residences, 11 Sen. Gil J. Puyat Ave, Makati City, 1300 Metro Manila, Philippines"
"WPS Spa, Filmore Makati",Massage spa,"Royal Regent Building, 5085 Filmore St, Makati City, 1235 Metro Manila, Philippines"
G.H Home Massage Services,Massage spa,"H28P+HHG, Amorsolo Drive, Rockwell Dr, Makati City, 1209 Metro Manila, Philippines"
Makati Meditation,Mediation service,"Philippines, Metro Manila, Makati City"
Open Mat Makati | Brazilian Jiu Jitsu | Yoga | Cold Plunge | Infrared Sauna | Contrast Therapy,Yoga studio,"Unit 2B, Brgy, Country Space I, Salcedo Village, 133 H.V. Dela Costa, Bel-Air, Makati City, 1227 Metro Manila, Philippines"
Ortigas Meditation,Meditation center,"AIC Gold Tower, PH Pasig #2505, Philippines"
"Sunspace Makati | Yoga, Meditation & Breathwork",Yoga studio,"202 2/F, Prince Tower, Salcedo Village, 14 Tordesillas, Makati City, 1209 Metro Manila, Philippines"
Ocean Sky Chan Monastery 海天禪寺,Meditation center,"716 Jose Abad Santos, San Juan City, 1500 Metro Manila, Philippines"
Meditation Philippines,Meditation center,"L.P. Leviste Street, Makati City, 1227 Metro Manila, Philippines"
Institute For Inner Studies Inc. | Pranic Healing Center,Wellness center,"2nd Floor La Paz Center, Salcedo St., Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
Sama Sanctuary,Wellness center,"Unit 201, Centrum II Building, 150 Valero, Makati City, 1227 Metro Manila, Philippines"
Torre Yoga and Wellness,Yoga studio,"Tower 1, Cityland 10, Salcedo Village, H.V. Dela Costa, Makati City, Metro Manila, Philippines"
The Breathing Room,Yoga studio,"Unit 8D, Icon Plaza, 26th St, Post Proper Northside, Taguig, Metro Manila, Philippines"
ANAM CARA MANILA,Learning center,"Bel-Air Village Phase II, 161 Neptune, Makati City, Metro Manila, Philippines"
Pura Yoga Studio,Yoga studio,"122 Legazpi Street, Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
Powerbreath,Meditation center,"1750 Adriatico St, Malate, Manila, 1004 Metro Manila, Philippines"
OCA collective,Meditation center,"2F, Bonifacio High Street, C2 building, 7th Ave, Taguig, 1630 Metro Manila, Philippines"
Sheng Zhen Philippines,Meditation center,"S&L Building, 101 Esteban, Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
National Shrine of the Sacred Heart (Archdiocese of Manila),Catholic church,"4 Sacred Heart St, Makati City, 1203 Metro Manila, Philippines"
Asia Meditation,Meditation center,"26B, Classica Tower 2, Salcedo Village, 114 H.V. Dela Costa, Makati City, Metro Manila, Philippines"
Sto. Nino de Paz Greenbelt Chapel,Catholic church,"Ayala Center, Makati City, Metro Manila, Philippines"
RESONANCE,Meditation center,"5925 Algier, Makati City, 1210 Metro Manila, Philippines"
The Healing House at Palma,Wellness center,"6047 R Palma, Makati City, 1210 Metro Manila, Philippines"
Magallanes Interchange Park,Park,"G2R8+2PF, Makati City, Metro Manila, Philippines"
Makati Poblacion Park,Park,"Riverside J. P. Rizal St, Poblacion, Makati City, 1210 Metro Manila, Philippines"
Mahogany Park,Park,"G2PF+6XG, Mahogany Rd, Makati City, Metro Manila, Philippines"
BGC Greenway Park,Park,"130 McKinley Rd, Makati City, Metro Manila, Philippines"
Glorietta 3 Park,Park,"H22G+X2X, Parkway Dr, Makati City, Metro Manila, Philippines"
Crane & Turtle Garden,Park,"H239+G7V, Legazpi Street, Legazpi Village, Makati City, Metro Manila, Philippines"
Guadalupe Nuevo Cloverleaf Park,Park,"H28W+XF6, Makati City, Metro Manila, Philippines"
Buendia Freedom Park,Park,"H268+H3R, Sen. Gil J. Puyat Ave, Makati City, Metro Manila, Philippines"
Campanilla Park,Park,"1417 Campanilla, Makati City, Metro Manila, Philippines"
Legazpi Mini Park,Park,"Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
Makati City San isidro park,Park,"H224+934, Dian St, Makati City, Metro Manila, Philippines"
City Garden Hotel Makati,Hotel,"7870 Makati, corner Durban, Barangay Poblacion, Makati City, 1210 Metro Manila, Philippines"
City Garden GRAND Hotel Makati,Hotel,"8008 Makati Ave, Kalayaan Ave, Makati, Makati City, 1200 Metro Manila, Philippines"
Cattleya Gardens,Condominium complex,"St, 111 Don Carlos Palanca, Legazpi Village, Makati, 1229 Kalakhang Maynila, Philippines"
Oriental Garden Makati Entrance,Condominium complex,"1224 Chino Roces Ave, Makati City, Metro Manila, Philippines"
Luna Gardens,Condominium complex,"Residential Dr, Makati City, Metro Manila, Philippines"
Garden Towers,Condominium complex,"Ayala Center, East St, San Lorenzo, Makati City, 1224 Metro Manila, Philippines"
Oriental Garden Condominium,Condominium complex,"Don Chino Roces Avenue, Makati City, Metro Manila, Philippines"
Makati Garden Club,Unknown,"H22H+FV6, Recoletos cor. Ayala Ave, Edsa Avenue, Makati City, Philippines"
Cypress Gardens Building,Condominium complex,"112, 1229 V.A. Rufino St, Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
The Shops Ayala Triangle Gardens,Shopping mall,"1224 Makati Ave, Makati City, Metro Manila, Philippines"
Bonaventure Garden Homes,Housing complex,"2331A S. Osmeña, Makati City, 1208 Metro Manila, Philippines"
Splendido Gardens Salcedo,Condominium complex,"Splendido Gardens, Salcedo Village, 146 H.V. Dela Costa, Makati City, 1231 Metro Manila, Philippines"
Ayala Triangle Gardens Tower 2,Corporate office,"Paseo de Roxas, corner Makati Ave, Makati City, 1226 Metro Manila, Philippines"
Eternal Gardens Memorial Park Head Office,Memorial park,"Dominga Building III, 2113 Don Chino Roces Avenue, Corner Dela Rosa Street, Makati City, 1200 Metro Manila, Philippines"
ARIAS GARDEN POBLACION,Restaurant,"5804 dona carmen, cor Jacobo, Makati City, 1210 Metro Manila, Philippines"
ADDI's GARDEN,Garden,"G2X9+732, Melantic, Makati City, 1223 Metro Manila, Philippines"
Tivoli Garden Residences,Condominium complex,"69 Coronado, Mandaluyong City, 1550 Metro Manila, Philippines"
BGC Greenway Linear,Park,"G2XV+FJ8, Makati City, Metro Manila, Philippines"
Pasig River - Mandaluyong - Makati Area,Hiking area,"H2CJ+JGX, Hulo, Mandaluyong City, Metro Manila, Philippines"
Bel Air Park,Park,"40 Solar, Makati City, 1209 Metro Manila, Philippines"
WILD Café & Bar,Cafe,"5903 Matilde, Poblacion, Makati City, 1210 Metro Manila, Philippines"
The Silica Events Place Makati,Event venue,"6th Floor, Kaija, Makati Avenue, corner B. Valdez, Poblacion, Makati City, 1210 Metro Manila, Philippines"
Annex House,Social club,"5638 Don Pedro, Makati City, 1209 Metro Manila, Philippines"
SHAKA - Salcedo Makati,Vegan restaurant,"117-107 L.P. Leviste Street, Makati City, Metro Manila, Philippines"
Wiltlover Cafe - Makati,Cafe,"Level 2, Ayala Malls Circuit, Hippodromo St, Makati City, 1217 Metro Manila, Philippines"
Refinery,Restaurant,"Joya Lofts & Towers, 28 Plaza Dr, Rockwell Center, Makati City, 1210 Metro Manila, Philippines"
The Alley at Karrivin,Art center,"2316 Chino Roces Ave, Makati City, 1231 Metro Manila, Philippines"
Hidden Gem Coolest Crash spot Makati Swim Gym Park,Apartment,"Makati City, Metro Manila, Philippines"
The Pickle Spot Makati,Pickleball court,"2492 Pasong Tirad, Makati City, 1204 Metro Manila, Philippines"
Polilya | Craft Beer and Cocktails,Bar,"5767 Ebro, Makati City, Metro Manila, Philippines"
Finkels Makati,Restaurant,"Durban Hotel, 4875 Durban, Brgy. Poblacion, Makati City, 1210 Metro Manila, Philippines"
Yotteba Izakaya Revolution - Makati,Japanese restaurant,"Unit G-H, Ground Floor, Marvin Plaza Building, 2153 Chino Roces Ave, Brgy Pio del Pilar, Makati City, 1230 Metro Manila, Philippines"
