activity_name,category,location_area
Cloudscape Art.Music.Dine,Gastropub,"5382, Matheus Bldg, Stall 01 General Luna, Poblacion, Makati City, 1210 Metro Manila, Philippines"
Timezone Glorietta 4,Video arcade,"Glorietta 4, 4/F Ayala Ave, Makati City, 1200 Metro Manila, Philippines"
Timezone One Ayala,Video arcade,"Level 3, One Ayala, 1 Ayala Ave, Makati City, Metro Manila, Philippines"
Timezone Glorietta 2,Video arcade,"3rd Level, Palm Dr, Makati City, 1223 Metro Manila, Philippines"
Q Power Station,Video arcade,"25 Lopez Dr, Makati City, 1210 Metro Manila, Philippines"
Timezone Market Market,Video arcade,"5/F McKinley Pkwy, Taguig, 1630 Metro Manila, Philippines"
Timezone Ayala Malls Manila Bay,Video arcade,"Ayala Malls Manila Bay, Diosdado Macapagal Boulevard, Aseana Ave, Parañaque, 1701, Philippines"
Q Power Station,Video arcade,"Level 4, The Podium, Ortigas Center, Pasig, Metro Manila, Philippines"
Ayala Malls Circuit,Shopping mall,"Hippodromo St, Makati City, 1207 Metro Manila, Philippines"
Ayala Malls Circuit Lane,Shopping mall,"Hippodromo, Makati City, 1207 Metro Manila, Philippines"
Mettacity,Video arcade,"Glorietta 4, Ayala Ave, Makati City, Metro Manila, Philippines"
San Antonio Plaza Arcade,Shopping mall,"50, 1221 McKinley Rd, Makati City, 1221 Metro Manila, Philippines"
Gameloft Philippines,Video arcade,"H267+HM5, Sen. Gil J. Puyat Ave, Makati City, 1227 Metro Manila, Philippines"
Catchin 'Up Pub - San Antonio Place,Gastropub,"215 Sen. Gil J. Puyat Ave, Makati City, 1203 Metro Manila, Philippines"
Timezone SM Mall of Asia,Video arcade,"Level 3, SM Mall of Asia, Seaside Blvd, Pasay City, 0168 Metro Manila, Philippines"
Kingswood Arcade,Condominium complex,"29 Pablo Ocampo Sr. Ext, Makati City, 1204 Metro Manila, Philippines"
Racket Yard,Sports club,"3rd Floor, D’ Arcade Food Park, 7433 Yakal, San Antonio, Makati City, 1203 Metro Manila, Philippines"
Makati City,Unknown,"Metro Manila, Philippines"
Quantum - Uptown Mall,Amusement center,"36th St, Taguig, Metro Manila, Philippines"
Quantum Amusement Corporation. - SM City Manila,Video arcade,"SM City Manila, San Marcelino Street, Manila, 1000 Metro Manila, Philippines"
Quantum Amusement,Amusement center,"3010-313 3F Virramall Shopping Center San juan M.M., San Juan City, 1502 Metro Manila, Philippines"
Quantum Amusement - SM Center Pasig,Amusement center,"GF Sm Supercenter Pasig frontera verde rodriguez jr ave brgy ugong pasig city, Pasig, 1604, Philippines"
Quantum amusement,Amusement center,"3rd Floor Shaw Center Mall, 360 Shaw Blvd, Nueve de Febrero, Mandaluyong City, Philippines"
Quantum,Amusement center,"Sm Aura Premier, McKinley Pkwy, Taguig, 1634 Kalakhang Maynila, Philippines"
Quantum Amusement,Video arcade,"Level 3, Midtown Wing, Robinsons Place, Manila, Philippines"
Quantum Amusement Corporation,Company,"156-158 EmSm Mall Of Asia, Bay Boulevard, Pasay City, 1300 Metro Manila, Philippines"
Quantum Amusement,Amusement center,"SM City San Lazaro, Yuseco St, Santa Cruz, Manila, 1014 Metro Manila, Philippines"
Q Power Station,Video arcade,"L5,516-517, 5th Floor East Wing, Shangri-La Plaza, EDSA, Corner Shaw Blvd, Ortigas Center, Mandaluyong City, Metro Manila, Philippines"
Quantum,Amusement center,"B, 022 , Shangri-La Plaza EDSA Corner Shaw Boulevard , Ortigas Center , Mandaluyong City , 1650 Metro Manila, Philippines"
Tom's World | SM Mall of Asia,Amusement center,"Level-1 MM 1164 - 1168, Mall of Asia, Sunset Ave., 1300 Pasay City, Philippines"
Tom's World,Amusement center,"G3HF+VPX, Taguig, Metro Manila, Philippines"
Tom's World SM City Togo,Amusement center,"628 San Marcelino St, Ermita, Manila, 1000 Metro Manila, Philippines"
Tom's World,Playground,"HXGM+9F3, Pedro Gil St, Ermita, Manila, 1000 Metro Manila, Philippines"
Tom's World,Game store,"LG,Mega a,Bridgeway, Mega Mall, Doña Julia Vargas Ave, Ortigas Center, Mandaluyong City, Metro Manila, Philippines"
Tom's World,Amusement center,"LG, SM City STA. Mesa, Aurora Bouvelard Corner Gregorio Araneta Avenue, San Juan City, Metro Manila, Philippines"
Tom's World,Recreation center,"1658 Recto Ave, Quiapo, Manila, 1001 Metro Manila, Philippines"
Tom's World,Amusement center,"SM City San Lazaro, Felix Huertas Rd, Santa Cruz, Manila, 1008 Metro Manila, Philippines"
Tom's World Parties - Robinsons Galleria,Event venue,"Level 3, Robinsons Galleria EDSA, cor Ortigas Ave, Ortigas Center, Quezon City, Metro Manila, Philippines"
Tom's World,Game store,"SM East Ortigas, Ortigas Ave Ext, Pasig, Metro Manila, Philippines"
Tom's World,Amusement center,"2nd Level, Puregold Building Ayala Malls Marikina, Liwasang Kalayaan, Marikina, 1800 Metro Manila, Philippines"
Tom's World,Amusement center,"Lower Ground Level, Robinsons Magnolia, Aurora Blvd, Corner Doña Hemady St, Quezon City, 1111 Metro Manila, Philippines"
Tom's World,Amusement center,"Walter Mart, Km.16 E Service Rd, Parañaque, 1700 Kalakhang Maynila, Philippines"
Tom's World,Children's amusement center,"SM Sucat, Dr. Santos Avenue Corner Santos P. Garcia Avenue, Don Sionisio, Parañaque, 1700 Kalakhang Maynila, Philippines"
New World Makati Hotel,Hotel,"Esperanza Street, corner Makati Ave, Ayala Center, Makati City, 1228 Metro Manila, Philippines"
Tom Shoes,Company,"2nd Floor Glorietta 3, Ayala Center, N Dr, Makati City, Metro Manila, Philippines"
Amanoma Esports Café,Internet cafe,"1861 Evangelista, Makati City, 1230 Metro Manila, Philippines"
Amanoma Gaming,Computer service,"1862 Evangelista, St, Makati City, 1230 Metro Manila, Philippines"
KDM Esports Cafe Evangelista Makati,Internet cafe,"4F, Sacred Heart Building, Evangelista, Makati, 1214 Kalakhang Maynila, Philippines"
Gaming Library Greenbelt 5,Hobby store,"Level 3, Greenbelt 5, 1228 Legazpi Street, Makati City, 1228 Metro Manila, Philippines"
INMERS | Floor Is Lava @ One Ayala,Game store,"Level 4, One Ayala Mall, 1 Ayala Ave, Makati City, 1223 Metro Manila, Philippines"
"Jade Entertainment and Gaming Technologies, Inc.",Video arcade,"Chino Roces Ave, Makati City, 1231 Metro Manila, Philippines"
Gaming Library Uptown Mall,Board game club,"3rd flr, Uptown Mall, 8th Avenue, Taguig, Metro Manila, Philippines"
"Prime Gaming Philippines, Inc.",Video arcade,"9/F Rufino Pacific Tower6784 Ayala Ave. cor., V.A. Rufino St, Makati City, Metro Manila, Philippines"
Studio 300 Makati,Bowling alley,"2256 Chino Roces Avenue, corner Epifanio de los Santos Ave, Bangkal, Makati City, 1233 Metro Manila, Philippines"
K Premium Luxury Internet Cafe - Makati Branch,Internet cafe,"78 Jupiter, Makati City, Metro Manila, Philippines"
The Office | Roll Play Game Lounge,Game store,"2F, the 30th Corte, Ayala Malls, Meralco Ave, Pasig, 1600 Metro Manila, Philippines"
Amanoma Esports Cafe Arnaiz Pasay,Internet cafe,"574 Antonio Arnaiz Ave, Pasay City, Metro Manila, Philippines"
Versus Barcade PH,Bar,"Ground Floor, Uptown Parade, 9th Ave, Taguig, Metro Manila, Philippines"
The Skuids Games,Sports bar,"1490 Anastacio, Makati City, 1212 Metro Manila, Philippines"
House Party Lounge Bar & Cafe,Bar,"4992 P. Guanzon, Makati City, 1210 Metro Manila, Philippines"
Blueprint Gaming Ltd.,Video arcade,"18th Floor, Philamlife Tower, 8767 Paseo de Roxas, Makati City, 1226 Metro Manila, Philippines"
MiNi Net Cafe,Internet cafe,"2013 General Luna, Taguig, 1213 Metro Manila, Philippines"
LOS ZETAS ESPORTS CAFE,Internet cafe,"1st floor 2nd, SANTAANA PLACE CORPORATION, unit, 9638 Kalayaan Ave, Makati City, Metro Manila, Philippines"
2564 Manggahan st guadalupe makatimakati,Internet cafe,"2564 Manggahan, Makati City, Metro Manila, Philippines"
Universe Cyber Cafe,Cafe,"7829 Makati Ave, Makati City, Metro Manila, Philippines"
Jb Mateo Internet Cafe,Cafe,"6803 A.Santuico, Makati, 1230 Kalakhang Maynila, Philippines"
N3XTGEN internet cafe,Internet cafe,"164 Taal St., Group2, post proper, post proper, Taguig, 1200 Metro Manila, Philippines"
Kadiliman Esports Cafe Guadalupe,Internet cafe,"8140 Sgt. Fabian Yabut, Makati City, 1212 Metro Manila, Philippines"
Buzz Premium Internet Cafe - Taft branch,Internet cafe,"Taft Ave, Malate, Manila, 1004 Metro Manila, Philippines"
APLRC Sari-Sari Store (formerly APLRC INTERNET CAFE),Store,"2874 Finlandia, Makati City, 1234 Metro Manila, Philippines"
Cyber Central Cafe,Internet cafe,"3/F Besanet Cyber Cafe, Unit 27 Welcome Plaza Mall 2410 Taft Avenue, cor Antonio S. Arnaiz Ave, Pasay City, 1300 Metro Manila, Philippines"
Hey Internet Café-Moa,Internet cafe,"Unit 206, 207 & 208, Level 2, Monarch Parksuites, Bradco Ave, Parañaque, 1702 Metro Manila, Philippines"
REBHEL Internet Cafe,Internet cafe,"12th. St corner 7th St Villamor, Barangay 183, Pasay City, 1300 Metro Manila, Philippines"
Creativity Lounge,Digital printing service,"for EDSA, Ayala Center, Fourth Floor, One Ayala, Ayala Ave, Makati City, 1223 Metro Manila, Philippines"
Garage 339 internet cafe,Computer store,"G3V3+PG9, Tulip, Taguig, Metro Manila, Philippines"
Kaethe Internet Cafe,Internet cafe,"2440 Oro-B, San Andres Bukid, Manila, 1009 Metro Manila, Philippines"
Gamers Hub,Internet cafe,"Blk 54 Lot 10 Pinagsama Village Phase 2, Taguig, 1700 Metro Manila, Philippines"
PC GAMES MAKATI,Computer software store,"1207 Honradez St, Makati City, Metro Manila, Philippines"
DynaQuest PC Makati,Computer store,"4464 Calatagan St, Makati City, 1235 Metro Manila, Philippines"
Techtite E-Sports Lounge - De La Salle University Manila,Internet cafe,"One Archers Place, Taft Ave, Ermita, Manila, 1000 Metro Manila, Philippines"
Games and Amusements Board,Government office,"2/F, Legaspi Tower 200, Paseo de Roxas St., Legaspi Village 1229, Makati City, Philippines"
